type,title,country,date_added,release_year,rating,listed_in,Platform
TV Show,Oldsters,,01-09-2021,2019.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix
Movie,Once Upon a Time in America,"Italy, United States",01-09-2021,1984.0,R,"Classic Movies, Dramas",Netflix
Movie,Open Season 2,"United States, Canada",01-09-2021,2008.0,PG,"Children & Family Movies, Comedies",Netflix
Movie,Osmosis Jones,United States,01-09-2021,2001.0,PG,"Action & Adventure, Children & Family Movies, Comedies",Netflix
Movie,Poseidon,United States,01-09-2021,2006.0,PG-13,"Action & Adventure, Dramas",Netflix
Movie,Rhyme & Reason,United States,01-09-2021,1997.0,R,"Documentaries, Music & Musicals",Netflix
Movie,Same Kind of Different as Me,United States,01-09-2021,2017.0,PG-13,"Dramas, Faith & Spirituality",Netflix
Movie,School of Rock,"United States, Germany",01-09-2021,2003.0,PG-13,"Comedies, Music & Musicals",Netflix
Movie,Snervous Tyler Oakley,United States,01-09-2021,2015.0,PG-13,"Documentaries, LGBTQ Movies",Netflix
Movie,Tears of the Sun,United States,01-09-2021,2003.0,R,"Action & Adventure, Dramas",Netflix
Movie,The Blue Lagoon,United States,01-09-2021,1980.0,R,"Dramas, Romantic Movies",Netflix
Movie,The Golden Child,United States,01-09-2021,1986.0,PG-13,"Action & Adventure, Comedies",Netflix
Movie,The Guns of Navarone,"United Kingdom, United States",01-09-2021,1961.0,TV-14,"Action & Adventure, Classic Movies",Netflix
Movie,The Interview,United States,01-09-2021,2014.0,R,"Action & Adventure, Comedies",Netflix
Movie,The Nutty Professor,United States,01-09-2021,1996.0,PG-13,"Comedies, Romantic Movies",Netflix
Movie,The Nutty Professor II: The Klumps,,01-09-2021,2000.0,PG-13,"Comedies, Romantic Movies",Netflix
TV Show,Turning Point: 9/11 and the War on Terror,,01-09-2021,2021.0,TV-14,Docuseries,Netflix
Movie,Welcome Home Roscoe Jenkins,United States,01-09-2021,2008.0,PG-13,Comedies,Netflix
Movie,In the Line of Fire,United States,31-08-2021,1993.0,R,"Action & Adventure, Classic Movies",Netflix
TV Show,Sparking Joy,United States,31-08-2021,2021.0,TV-PG,Reality TV,Netflix
Movie,Untold: Crime & Penalties,,31-08-2021,2021.0,TV-MA,"Documentaries, Sports Movies",Netflix
TV Show,Hometown Cha-Cha-Cha,,29-08-2021,2021.0,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
TV Show,The Ingenuity of the Househusband,,29-08-2021,2021.0,TV-G,"International TV Shows, TV Comedies",Netflix
Movie,2 Alone in Paris,France,28-08-2021,2008.0,TV-MA,"Comedies, International Movies",Netflix
TV Show,Bread Barbershop,,28-08-2021,2020.0,TV-Y,"Kids' TV, TV Comedies",Netflix
Movie,Thimmarusu,India,28-08-2021,2021.0,TV-14,"Dramas, International Movies",Netflix
Movie,Wind River,"United Kingdom, Canada, United States",28-08-2021,2017.0,R,"Dramas, Independent Movies",Netflix
Movie,C Kkompany,India,27-08-2021,2008.0,TV-14,"Action & Adventure, Comedies, International Movies",Netflix
TV Show,D.P.,", South Korea",27-08-2021,2021.0,TV-MA,"International TV Shows, TV Dramas",Netflix
TV Show,Deadly Sins,,27-08-2021,2002.0,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix
Movie,EMI: Liya Hai To Chukana Padega,India,27-08-2021,2008.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,He's All That,,27-08-2021,2021.0,TV-14,"Comedies, Romantic Movies",Netflix
TV Show,I Heart Arlo,,27-08-2021,2021.0,TV-Y7,"Kids' TV, TV Comedies",Netflix
TV Show,King of Boys: The Return of the King,Nigeria,27-08-2021,2021.0,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
Movie,Koi Aap Sa,India,27-08-2021,2006.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,Krishna Cottage,India,27-08-2021,2004.0,TV-14,"Action & Adventure, Horror Movies, International Movies",Netflix
Movie,Kucch To Hai,India,27-08-2021,2003.0,TV-14,"Dramas, International Movies, Thrillers",Netflix
Movie,Kyaa Kool Hai Hum,India,27-08-2021,2005.0,TV-MA,"Comedies, International Movies, Music & Musicals",Netflix
Movie,Kyaa Kool Hain Hum 3,India,27-08-2021,2016.0,TV-MA,"Comedies, International Movies",Netflix
Movie,Kyaa Super Kool Hain Hum,India,27-08-2021,2012.0,TV-MA,"Comedies, International Movies",Netflix
Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,27-08-2021,2001.0,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",Netflix
Movie,"LSD: Love, Sex Aur Dhokha",India,27-08-2021,2010.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,27-08-2021,2008.0,TV-14,"Action & Adventure, International Movies, Music & Musicals",Netflix
Movie,Once Upon a Time in Mumbaai,India,27-08-2021,2010.0,TV-14,"Dramas, International Movies, Music & Musicals",Netflix
Movie,Once Upon a Time in Mumbai Dobaara!,India,27-08-2021,2013.0,TV-14,"Dramas, International Movies, Music & Musicals",Netflix
Movie,Ragini MMS,India,27-08-2021,2011.0,TV-MA,"Horror Movies, International Movies",Netflix
Movie,Ragini MMS 2,India,27-08-2021,2014.0,TV-MA,"Horror Movies, International Movies",Netflix
TV Show,Rebellion,Ireland,27-08-2021,2016.0,TV-MA,"International TV Shows, TV Dramas",Netflix
TV Show,RIDE ON TIME,,27-08-2021,2021.0,TV-PG,"Docuseries, International TV Shows",Netflix
Movie,SAS: Rise of the Black Swan,,27-08-2021,2021.0,R,"Action & Adventure, International Movies",Netflix
Movie,Shootout at Lokhandwala,India,27-08-2021,2007.0,TV-MA,"Action & Adventure, Dramas, International Movies",Netflix
Movie,Shor In the City,India,27-08-2021,2011.0,TV-14,"Comedies, Dramas, Independent Movies",Netflix
Movie,The Dirty Picture,India,27-08-2021,2011.0,TV-14,"Comedies, Dramas, International Movies",Netflix
TV Show,Titletown High,,27-08-2021,2021.0,TV-14,"Reality TV, Teen TV Shows",Netflix
TV Show,EDENS ZERO,Japan,26-08-2021,2021.0,TV-14,"Anime Series, International TV Shows",Netflix
TV Show,Family Reunion,United States,26-08-2021,2021.0,TV-PG,"Kids' TV, TV Comedies",Netflix
Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",,25-08-2021,2021.0,TV-14,Documentaries,Netflix
TV Show,Clickbait,,25-08-2021,2021.0,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix
TV Show,John of God: The Crimes of a Spiritual Healer,,25-08-2021,2021.0,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Netflix
TV Show,Motel Makeover,,25-08-2021,2021.0,TV-14,"International TV Shows, Reality TV",Netflix
TV Show,Open Your Eyes,,25-08-2021,2021.0,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",Netflix
TV Show,Post Mortem: No One Dies in Skarnes,,25-08-2021,2021.0,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Netflix
Movie,Really Love,United States,25-08-2021,2020.0,TV-MA,"Dramas, Independent Movies, Romantic Movies",Netflix
Movie,The November Man,"United States, United Kingdom",25-08-2021,2014.0,R,Action & Adventure,Netflix
Movie,The Old Ways,United States,25-08-2021,2020.0,TV-MA,Horror Movies,Netflix
Movie,The River Runner,,25-08-2021,2021.0,TV-MA,"Documentaries, Sports Movies",Netflix
Movie,The Water Man,United States,25-08-2021,2021.0,PG,"Children & Family Movies, Dramas",Netflix
TV Show,Wheel of Fortune,United States,25-08-2021,2019.0,TV-G,Reality TV,Netflix
Movie,Count Me In,United Kingdom,24-08-2021,2021.0,TV-MA,"Documentaries, Music & Musicals",Netflix
TV Show,Oggy Oggy,,24-08-2021,2021.0,TV-Y,"Kids' TV, TV Comedies",Netflix
Movie,Untold: Caitlyn Jenner,,24-08-2021,2021.0,TV-PG,"Documentaries, LGBTQ Movies, Sports Movies",Netflix
Movie,Boomika,,23-08-2021,2021.0,TV-14,"Horror Movies, International Movies, Thrillers",Netflix
Movie,Boomika (Hindi),,23-08-2021,2021.0,TV-14,"Horror Movies, International Movies, Thrillers",Netflix
Movie,Boomika (Malayalam),,23-08-2021,2021.0,TV-14,"Horror Movies, International Movies, Thrillers",Netflix
Movie,Boomika (Telugu),,23-08-2021,2021.0,TV-14,"Horror Movies, International Movies, Thrillers",Netflix
Movie,The Witcher: Nightmare of the Wolf,,23-08-2021,2021.0,TV-MA,"Action & Adventure, Anime Features",Netflix
TV Show,Manifest,United States,21-08-2021,2021.0,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",Netflix
TV Show,Comedy Premium League,,20-08-2021,2021.0,TV-MA,"International TV Shows, TV Comedies",Netflix
